Sr. No.,District,State,Zonal Classification,,
198,Hisar,Haryana,Orange Zone,,
199,Ambala,Haryana,Orange Zone,,
200,Jhajjar,Haryana,Orange Zone,,
201,Bhiwani,Haryana,Orange Zone,,
202,Kaithal,Haryana,Orange Zone,,
203,Kurukshetra,Haryana,Orange Zone,,
204,Karnal,Haryana,Orange Zone,,
205,Jind,Haryana,Orange Zone,,
206,Sirsa,Haryana,Orange Zone,,
207,Yamunanagar,Haryana,Orange Zone,,
208,Fatehabad,Haryana,Orange Zone,,
209,CharkiDadri,Haryana,Orange Zone,,
210,Mahendragarh,Haryana,Green Zone,,
211,Rewari,Haryana,Green Zone,,
212,Una,Himachal Pradesh,Orange Zone,,
213,Chamba,Himachal Pradesh,Orange Zone,,
214,Hamirpur,Himachal Pradesh,Orange Zone,,
215,Kangra,Himachal Pradesh,Orange Zone,,
216,Sirmaur,Himachal Pradesh,Orange Zone,,
217,Solan,Himachal Pradesh,Orange Zone,,
218,Bilaspur,Himachal Pradesh,Green Zone,,
219,Kinnaur,Himachal Pradesh,Green Zone,,
220,KuIlu,Himachal Pradesh,Green Zone,,
221,Lahul And Spiti,Himachal Pradesh,Green Zone,,
222,Mandi,Himachal Pradesh,Green Zone,,
223,Shimla,Himachal Pradesh,Green Zone,,
224,Bandipora,Jammu And Kashmir,Red Zone,,
225,Shopian,Jammu And Kashmir,Red Zone,,
226,Anantnag,Jammu And Kashmir,Red Zone,,
227,Srinagar,Jammu And Kashmir,Red Zone,,
228,Baramulla,Jammu And Kashmir,Orange Zone,,
229,Kupwara,Jammu And Kashmir,Orange Zone,,
230,Ganderbal,Jammu And Kashmir,Orange Zone,,
231,Jammu,Jammu And Kashmir,Orange Zone,,
232,Udhampur,Jammu And Kashmir,Orange Zone,,
233,Kulgam,Jammu And Kashmir,Orange Zone,,
234,Budgam,Jammu And Kashmir,Orange Zone,,
235,Samba,Jammu And Kashmir,Orange Zone,,
236,Kathua,Jammu And Kashmir,Orange Zone,,
237,Rajouri,Jammu And Kashmir,Orange Zone,,
238,Ramban,Jammu And Kashmir,Orange Zone,,
239,Reasi,Jammu And Kashmir,Orange Zone,,
240,Pulwama,Jammu And Kashmir,Green Zone,,
241,Kishtwar,Jammu And Kashmir,Green Zone,,
242,Doda,Jammu And Kashmir,Green Zone,,
243,Poonch,Jammu And Kashmir,Green Zone,,
244,Ranchi,Jharkhand,Red Zone,,
245,Bokaro,Jharkhand,Orange Zone,,
246,Garhwa,Jharkhand,Orange Zone,,
247,Dhanbad,Jharkhand,Orange Zone,,
248,Deoghar,Jharkhand,Orange Zone,,
249,Hazaribagh,Jharkhand,Orange Zone,,
250,Simdega,Jharkhand,Orange Zone,,
251,Giridih,Jharkhand,Orange Zone,,
252,Koderma,Jharkhand,Orange Zone,,
253,Jamtara,Jharkhand,Orange Zone,,
254,Chatra,Jharkhand,Green Zone,,
255,Dumka,Jharkhand,Green Zone,,
256,East Singhbum,Jharkhand,Green Zone,,
257,Godda,Jharkhand,Green Zone,,
258,Gumla,Jharkhand,Green Zone,,
259,Latehar,Jharkhand,Green Zone,,
260,Lohardaga,Jharkhand,Green Zone,,
261,Pakur,Jharkhand,Green Zone,,
262,Palamu,Jharkhand,Green Zone,,
263,Sahebganj,Jharkhand,Green Zone,,
264,SaraikelaKharsawan,Jharkhand,Green Zone,,
265,West Singhbhum,Jharkhand,Green Zone,,
266,Khunti,Jharkhand,Green Zone,,
267,Ramgarh,Jharkhand,Green Zone,,
268,Bengaluru Urban,Karnataka,Red Zone,,
269,Mysuru,Karnataka,Red Zone,,
270,Bengaluru Rural,Karnataka,Red Zone,,
271,Belagavi,Karnataka,Orange Zone,,
272,Vijayapura,Karnataka,Orange Zone,,
273,Kalaburagi,Karnataka,Orange Zone,,
274,Bagalkote,Karnataka,Orange Zone,,
275,Mandya,Karnataka,Orange Zone,,
276,Ballari,Karnataka,Orange Zone,,
277,Dharwad,Karnataka,Orange Zone,,
278,Dakshina Kannada,Karnataka,Orange Zone,,
279,Bidar,Karnataka,Orange Zone,,
280,Chikkaballapura,Karnataka,Orange Zone,,
281,Gadag,Karnataka,Orange Zone,,
282,Uttara Kannada,Karnataka,Orange Zone,,
283,Tumakuru,Karnataka,Orange Zone,,
284,Davangere,Karnataka,Green Zone,,
285,Udupi,Karnataka,Green Zone,,
286,Chamarajanagara,Karnataka,Green Zone,,
287,Chikkamagaluru,Karnataka,Green Zone,,
288,Chitradurga,Karnataka,Green Zone,,
289,Hassan,Karnataka,Green Zone,,
290,Haveri,Karnataka,Green Zone,,
291,Kodagu,Karnataka,Green Zone,,
292,Kolar,Karnataka,Green Zone,,
293,Koppal,Karnataka,Green Zone,,
294,Raichur,Karnataka,Green Zone,,
295,Shivamogga,Karnataka,Green Zone,,
296,Ramanagara,Karnataka,Green Zone,,
297,Yadgir,Karnataka,Green Zone,,
298,Kannur,Kerala,Red Zone,,
299,Kottayam,Kerala,Red Zone,,
300,Kasaragod,Kerala,Orange Zone,,
301,Idukki,Kerala,Orange Zone,,
302,Kozhikode,Kerala,Orange Zone,,
303,Kollam,Kerala,Orange Zone,,
304,Palakkad,Kerala,Orange Zone,,
305,Pathanamthitta,Kerala,Orange Zone,,
306,Malappuram,Kerala,Orange Zone,,
307,Thiruvananthapuram,Kerala,Orange Zone,,
308,Alappuzha,Kerala,Orange Zone,,
309,Thrissur,Kerala,Orange Zone,,
310,Ernakulam,Kerala,Green Zone,,
311,Wayanad,Kerala,Green Zone,,
312,LehLadakh,Ladakh,Orange Zone,,
313,Kargil,Ladakh,Orange Zone,,
314,Lakshadweep District,Lakshadweep,Green Zone,,
315,Indore,Madhya Pradesh,Red Zone,,
316,Bhopal,Madhya Pradesh,Red Zone,,
317,Ujjain,Madhya Pradesh,Red Zone,,
318,Jabalpur,Madhya Pradesh,Red Zone,,
319,Dhar,Madhya Pradesh,Red Zone,,
320,Barwani,Madhya Pradesh,Red Zone,,
321,East Nimar,Madhya Pradesh,Red Zone,,
322,Dewas,Madhya Pradesh,Red Zone,,
323,Gwalior,Madhya Pradesh,Red Zone,,
324,Khargone,Madhya Pradesh,Orange Zone,,
325,Raisen,Madhya Pradesh,Orange Zone,,
326,Hoshangabad,Madhya Pradesh,Orange Zone,,
327,Ratlam,Madhya Pradesh,Orange Zone,,
328,Agar Malwa,Madhya Pradesh,Orange Zone,,
329,Mandsaur,Madhya Pradesh,Orange Zone,,
330,Sagar,Madhya Pradesh,Orange Zone,,
331,Shajapur,Madhya Pradesh,Orange Zone,,
332,Chhindwara,Madhya Pradesh,Orange Zone,,
333,Alirajpur,Madhya Pradesh,Orange Zone,,
334,Tikamgarh,Madhya Pradesh,Orange Zone,,
335,Shandol,Madhya Pradesh,Orange Zone,,
336,Sheopur,Madhya Pradesh,Orange Zone,,
337,Dindori,Madhya Pradesh,Orange Zone,,
338,Burhanpur,Madhya Pradesh,Orange Zone,,
339,Harda,Madhya Pradesh,Orange Zone,,
340,Betul,Madhya Pradesh,Orange Zone,,
341,Vidisha,Madhya Pradesh,Orange Zone,,
342,Morena,Madhya Pradesh,Orange Zone,,
343,Rewa,Madhya Pradesh,Green Zone,,
344,Ashoknagar,Madhya Pradesh,Green Zone,,
345,Rajgarh,Madhya Pradesh,Green Zone,,
346,Shivpuri,Madhya Pradesh,Green Zone,,
347,Anuppur,Madhya Pradesh,Green Zone,,
348,Balaghat,Madhya Pradesh,Green Zone,,
349,Bhind,Madhya Pradesh,Green Zone,,
350,Chhatarpur,Madhya Pradesh,Green Zone,,
351,Damoh,Madhya Pradesh,Green Zone,,
352,Datia,Madhya Pradesh,Green Zone,,
353,Guna,Madhya Pradesh,Green Zone,,
354,Jhabua,Madhya Pradesh,Green Zone,,
355,Katni,Madhya Pradesh,Green Zone,,
356,Mandla,Madhya Pradesh,Green Zone,,
357,Narsinghpur,Madhya Pradesh,Green Zone,,
358,Neemuch,Madhya Pradesh,Green Zone,,
359,Panna,Madhya Pradesh,Green Zone,,
360,Satna,Madhya Pradesh,Green Zone,,
361,Sehore,Madhya Pradesh,Green Zone,,
362,Seoni,Madhya Pradesh,Green Zone,,
363,Sidhi,Madhya Pradesh,Green Zone,,
364,Umaria,Madhya Pradesh,Green Zone,,
365,Singrauli,Madhya Pradesh,Green Zone,,
366,Niwari,Madhya Pradesh,Green Zone,,
367,Mumbai,Maharashtra,Red Zone,,
368,Pune,Maharashtra,Red Zone,,
369,Thane,Maharashtra,Red Zone,,
370,Nashik,Maharashtra,Red Zone,,
371,Palghar,Maharashtra,Red Zone,,
372,Nagpur,Maharashtra,Red Zone,,
373,Solapur,Maharashtra,Red Zone,,
374,Yavatmal,Maharashtra,Red Zone,,
375,Aurangabad,Maharashtra,Red Zone,,
376,Satara,Maharashtra,Red Zone,,
377,Dhule,Maharashtra,Red Zone,,
378,Akola,Maharashtra,Red Zone,,
379,Jalgaon,Maharashtra,Red Zone,,
380,Mumbai Suburban,Maharashtra,Red Zone,,
381,Raigad,Maharashtra,Orange Zone,,
382,Ahmednagar,Maharashtra,Orange Zone,,
383,Amravati,Maharashtra,Orange Zone,,
384,Buldhana,Maharashtra,Orange Zone,,
385,Nandurbar,Maharashtra,Orange Zone,,
386,Kolhapur,Maharashtra,Orange Zone,,
387,Hingoli,Maharashtra,Orange Zone,,
388,Ratnagiri,Maharashtra,Orange Zone,,
389,Jalna,Maharashtra,Orange Zone,,
390,Nanded,Maharashtra,Orange Zone,,
391,Chandrapur,Maharashtra,Orange Zone,,
392,Parbhani,Maharashtra,Orange Zone,,
393,Sangli,Maharashtra,Orange Zone,,
394,Latur,Maharashtra,Orange Zone,,
395,Bhandara,Maharashtra,Orange Zone,,
396,Beed,Maharashtra,Orange Zone,,
397,Osmanabad,Maharashtra,Green Zone,,
398,Washim,Maharashtra,Green Zone,,
399,Sindhudurg,Maharashtra,Green Zone,,
400,Gondia,Maharashtra,Green Zone,,
401,Gadchiroli,Maharashtra,Green Zone,,
402,Wardha,Maharashtra,Green Zone,,
403,Innphal West,Manipur,Green Zone,,
404,Thoubal,Manipur,Green Zone,,
405,Bishnupur,Manipur,Green Zone,,
406,Chandel,Manipur,Green Zone,,
407,Churachandpur,Manipur,Green Zone,,
408,Imphal East,Manipur,Green Zone,,
409,Senapati,Manipur,Green Zone,,
410,Tamenglong,Manipur,Green Zone,,
411,Ukhrul,Manipur,Green Zone,,
412,Kakching,Manipur,Green Zone,,
413,Kangpokpi,Manipur,Green Zone,,
414,Jiribam,Manipur,Green Zone,,
415,Noney,Manipur,Green Zone,,
416,Pherzawl,Manipur,Green Zone,,
417,Tengnoupal,Manipur,Green Zone,,
418,Kamjong,Manipur,Green Zone,,
419,East Khasi Hills,Meghalaya,Orange Zone,,
420,East Garo Hills,Meghalaya,Green Zone,,
421,West Jaintia Hills,Meghalaya,Green Zone,,
422,RiBhoi,Meghalaya,Green Zone,,
423,South Garo Hills,Meghalaya,Green Zone,,
424,West Garo Hills,Meghalaya,Green Zone,,
425,West Khasi Hills,Meghalaya,Green Zone,,
426,North Garo Hills,Meghalaya,Green Zone,,
427,East Jaintia Hills,Meghalaya,Green Zone,,
428,South West Khasi Hills,Meghalaya,Green Zone,,
429,South West Garo Hills,Meghalaya,Green Zone,,
430,Aizawl,Mizoram,Green Zone,,
431,Champhai,Mizoram,Green Zone,,
432,Kolasib,Mizoram,Green Zone,,
433,Lawngtlai,Mizoram,Green Zone,,
434,Lunglei,Mizoram,Green Zone,,
435,Mamit,Mizoram,Green Zone,,
436,Saiha,Mizoram,Green Zone,,
437,Serchhip,Mizoram,Green Zone,,
438,Hnahthial,Mizoram,Green Zone,,
439,Saitual,Mizoram,Green Zone,,
440,Khawzawl,Mizoram,Green Zone,,
441,Dimapur,Nagaland,Green Zone,,
442,Kohima,Nagaland,Green Zone,,
443,Mokokchung,Nagaland,Green Zone,,
444,Mon,Nagaland,Green Zone,,
445,Phek,Nagaland,Green Zone,,
446,Tuensang,Nagaland,Green Zone,,
447,Wokha,Nagaland,Green Zone,,
448,Zunheboto,Nagaland,Green Zone,,
449,Peren,Nagaland,Green Zone,,
450,Kiphire,Nagaland,Green Zone,,
451,Longleng,Nagaland,Green Zone,,
452,Jajapur,Odisha,Red Zone,,
453,Bhadrak,Odisha,Red Zone,,
454,Baleshwar,Odisha,Red Zone,,
455,Khordha,Odisha,Orange Zone,,
456,Sundargarh,Odisha,Orange Zone,,
457,Kendrapara,Odisha,Orange Zone,,
458,Koraput,Odisha,Orange Zone,,
459,Dhenkanal,Odisha,Orange Zone,,
460,Kalahandi,Odisha,Orange Zone,,
461,Cuttack,Odisha,Green Zone,,
462,Puri,Odisha,Green Zone,,
463,Anugul,Odisha,Green Zone,,
464,Balangir,Odisha,Green Zone,,
465,Bargarh,Odisha,Green Zone,,
466,Boudh,Odisha,Green Zone,,
467,Deogarh,Odisha,Green Zone,,
468,Gajapati,Odisha,Green Zone,,
469,Ganjam,Odisha,Green Zone,,
470,Jagatsinghapur,Odisha,Green Zone,,
471,Jharsuguda,Odisha,Green Zone,,
472,Kandhamal,Odisha,Green Zone,,
473,Kendujhar,Odisha,Green Zone,,
474,Malkangiri,Odisha,Green Zone,,
475,Mayurbhanj,Odisha,Green Zone,,
476,Nabarangpur,Odisha,Green Zone,,
477,Nayagarh,Odisha,Green Zone,,
478,Nuapada,Odisha,Green Zone,,
479,Rayagada,Odisha,Green Zone,,
480,Sambalpur,Odisha,Green Zone,,
481,Sonepur,Odisha,Green Zone,,
482,Pondicherry,Puducherry,Orange Zone,,
483,Karaikal,Puducherry,Green Zone,,
484,Mahe,Puducherry,Green Zone,,
485,Yanam,Puducherry,Green Zone,,
486,Jalandhar,Punjab,Red Zone,,
487,Patiala,Punjab,Red Zone,,
488,Ludhiana,Punjab,Red Zone,,
489,S.A.S Nagar,Punjab,Orange Zone,,
490,Pathankot,Punjab,Orange Zone,,
491,Mansa,Punjab,Orange Zone,,
492,Tarn Taran,Punjab,Orange Zone,,
493,Amritsar,Punjab,Orange Zone,,
494,Kapurthala,Punjab,Orange Zone,,
495,Hoshiarpur,Punjab,Orange Zone,,
496,Faridkot,Punjab,Orange Zone,,
497,Sangrur,Punjab,Orange Zone,,
498,Shahid Bhagat Singh Nagar (Nawanshahr),Punjab,Orange Zone,,
499,Firozepur,Punjab,Orange Zone,,
500,Sri Muktsar Sahib,Punjab,Orange Zone,,
501,Moga,Punjab,Orange Zone,,
502,Gurdaspur,Punjab,Orange Zone,,
503,Barnala,Punjab,Orange Zone,,
504,Rupnagar (Ropar),Punjab,Green Zone,,
505,Fatehgarh Sahib,Punjab,Green Zone,,
506,Bathinda,Punjab,Green Zone,,
507,Fazilka,Punjab,Green Zone,,
508,Jaipur,Rajasthan,Red Zone,,
509,Jodhpur,Rajasthan,Red Zone,,
510,Kota,Rajasthan,Red Zone,,
511,Ajmer,Rajasthan,Red Zone,,
512,Bharatpur,Rajasthan,Red Zone,,
513,Nagaur,Rajasthan,Red Zone,,
514,Banswara,Rajasthan,Red Zone,,
515,Jhalawar,Rajasthan,Red Zone,,
516,Tonk,Rajasthan,Orange Zone,,
517,Jaisalmer,Rajasthan,Orange Zone,,
518,Dausa,Rajasthan,Orange Zone,,
519,Jhunjhunu,Rajasthan,Orange Zone,,
520,Hanumangarh,Rajasthan,Orange Zone,,
521,Bhilwara,Rajasthan,Orange Zone,,
522,SawaiMadhopur,Rajasthan,Orange Zone,,
523,Chittorgarh,Rajasthan,Orange Zone,,
524,Dungarpur,Rajasthan,Orange Zone,,
525,Udaipur,Rajasthan,Orange Zone,,
526,Dholpur,Rajasthan,Orange Zone,,
527,Sikar,Rajasthan,Orange Zone,,
528,Alwar,Rajasthan,Orange Zone,,
529,Bikaner,Rajasthan,Orange Zone,,
530,Churu,Rajasthan,Orange Zone,,
531,Pali,Rajasthan,Orange Zone,,
532,Barmer,Rajasthan,Orange Zone,,
533,Karauli,Rajasthan,Orange Zone,,
534,Rajsamand,Rajasthan,Orange Zone,,
535,Baran,Rajasthan,Green Zone,,
536,Bundi,Rajasthan,Green Zone,,
537,Ganganagar,Rajasthan,Green Zone,,
538,Jalore,Rajasthan,Green Zone,,
539,Sirohi,Rajasthan,Green Zone,,
540,Pratapgarh,Rajasthan,Green Zone,,
541,North District,Sikkim,Green Zone,,
542,East District,Sikkim,Green Zone,,
543,South District,Sikkim,Green Zone,,
544,West District,Sikkim,Green Zone,,
545,Chennai,Tamil Nadu,Red Zone,,
546,Madurai,Tamil Nadu,Red Zone,,
547,Namakkal,Tamil Nadu,Red Zone,,
548,Thanjavur,Tamil Nadu,Red Zone,,
549,Chengalpattu,Tamil Nadu,Red Zone,,
550,Thiruvallur,Tamil Nadu,Red Zone,,
551,Tiruppur,Tamil Nadu,Red Zone,,
552,Ranipet,Tamil Nadu,Red Zone,,
553,Virudhunagar,Tamil Nadu,Red Zone,,
554,Thiruvarur,Tamil Nadu,Red Zone,,
555,Vellore,Tamil Nadu,Red Zone,,
556,Kanchipuram,Tamil Nadu,Red Zone,,
557,Theni,Tamil Nadu,Orange Zone,,
558,Tenkasi,Tamil Nadu,Orange Zone,,
559,Nagapattinam,Tamil Nadu,Orange Zone,,
560,Dindigul,Tamil Nadu,Orange Zone,,
561,Villupuram,Tamil Nadu,Orange Zone,,
562,Coimbatore,Tamil Nadu,Orange Zone,,
563,Cuddalore,Tamil Nadu,Orange Zone,,
564,Salem,Tamil Nadu,Orange Zone,,
565,Karur,Tamil Nadu,Orange Zone,,
566,Tuticorin,Tamil Nadu,Orange Zone,,
567,Tiruchirappalli,Tamil Nadu,Orange Zone,,
568,Tirupathur,Tamil Nadu,Orange Zone,,
569,Kanniyakumari,Tamil Nadu,Orange Zone,,
570,Tiruvannamalai,Tamil Nadu,Orange Zone,,
571,Ramanathapuram,Tamil Nadu,Orange Zone,,
572,Tirunelveli,Tamil Nadu,Orange Zone,,
573,The Nilgiris,Tamil Nadu,Orange Zone,,
574,Sivaganga,Tamil Nadu,Orange Zone,,
575,Perambalur,Tamil Nadu,Orange Zone,,
576,Kallakurichi,Tamil Nadu,Orange Zone,,
577,Ariyalur,Tamil Nadu,Orange Zone,,
578,Erode,Tamil Nadu,Orange Zone,,
579,Pudukkottai,Tamil Nadu,Orange Zone,,
580,Dharmapuri,Tamil Nadu,Orange Zone,,
581,Krishnagiri,Tamil Nadu,Green Zone,,
582,Hyderabad,Telangana,Red Zone,,
583,Suryapet,Telangana,Red Zone,,
584,Ranga Reddy,Telangana,Red Zone,,
585,MedchalMalkajgiri,Telangana,Red Zone,,
586,Vikarabad,Telangana,Red Zone,,
587,Warangal Urban,Telangana,Red Zone,,
